State,Total_Payments,Total_Discharge,Total_Payments_per_Discharge,Region
AK,372709.2634,26.42396313,14104.97212,West
AL,312667.8634,42.1437931,7419.072665,West
AR,343915.4741,43.69398281,7871.003099,West
AZ,400165.7139,38.78429643,10317.72523,West
CA,470466.4917,38.21911573,12309.71682,West
CO,326445.9016,33.54483612,9731.62905,West
CT,570813.1275,51.86121437,11006.55151,West
DC,642247.5048,49.25797872,13038.44619,West
DE,686038.5516,67.34453782,10186.99621,West
FL,448414.1719,51.37604614,8728.078658,West
GA,363276.3602,40.98698373,8863.212834,West
HI,346970.7718,27.28,12718.86993,West
IA,352177.3065,41.31738213,8523.708143,MidWest
ID,355184.3277,35.59012876,9979.855094,MidWest
IL,465802.9677,48.68696343,9567.303746,MidWest
IN,398223.5272,46.12246671,8634.046607,MidWest
KS,337231.8146,39.68397626,8497.934088,MidWest
KY,408054.3835,50.17557831,8132.529753,MidWest
LS,325336.4511,38.78995616,8387.131189,MidWest
MA,591561.4191,53.31190554,11096.23475,South
MD,726688.6798,56.21559268,12926.81701,South
ME,315771.0167,36.83333333,8572.968779,South
MI,570252.7636,59.65613296,9558.996458,South
MN,424745.055,44.11717922,9627.656677,South
MO,399043.3437,46.19791995,8637.690705,South
MS,329276.6331,41.3223311,7968.491233,South
MT,290171.9206,31.57894737,9188.777487,South
NC,479360.2641,54.84027438,8741.025999,South
ND,417487.1849,43.27170868,9648.040201,South
NE,351549.303,38.06228766,9236.158011,South
NH,346100.3976,36.78499278,9408.739036,South
NJ,583013.4992,56.00490463,10410.0436,South
NM,305139.6749,31.54289544,9673.80041,NorthEast
NV,372883.139,37.14646465,10038.18648,NorthEast
NY,570878.9403,50.36994703,11333.72128,NorthEast
OH,387815.8989,45.04054295,8610.373531,NorthEast
OK,329450.6633,40.08376963,8219.053905,NorthEast
OR,327048.2178,31.68708609,10321.18311,NorthEast
PA,388284.2156,42.49808917,9136.509974,NorthEast
RI,396038.608,39.39956803,10051.85152,NorthEast
SC,412486.4504,46.43478261,8883.135168,NorthEast
SD,437862.6405,43.86104218,9982.951128,NorthEast
TN,373060.6984,47.4352347,7864.632709,NorthEast
TX,390627.0559,43.11717214,9059.663158,NorthEast
UT,329531.6662,33.96661608,9701.633668,NorthEast
VA,418380.6134,48.25428973,8670.329947,NorthEast
VT,428427.3922,38.97083333,10993.53941,NorthEast
WA,428159.0644,41.16349481,10401.42647,NorthEast
WI,334907.5449,36.90434783,9075.015944,NorthEast
WV,358473.1593,44.01313756,8144.685409,Pacific
WY,325030.3793,27.98695652,11613.63791,Pacific
